article,name,price,category_id,description,image_url,is_active
10007,Медитация - Фетровый брелок,700.00,2,Фетровый брелок для медитации,"https://sun9-80.vkuserphoto.ru/s/v1/ig2/T2qDwQcUzrmMAug2eUzMSwB8d3NRwFfgF5UVybhMi2O8oxelQcCfdelUEYE55RhbUY_b7hFeC99rPajciHj4kT1_.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1079,1280x1279,1440x1439,2080x2079&from=bu&u=EQlmEkMtZMcWXt6UMHqLDk6wSw0kIHYLkjO4Lo2GqG4&cs=540x0",true
20001,Фетровый человечек,2500.00,3,Человечек из фетра ручной работы,"https://sun9-9.vkuserphoto.ru/s/v1/ig2/lUleNmE55tMd9hrjstMuDdkLsE5MtPtMGGd8QoY0M8SDUiOwNsFpQ7LrK3YvLr7Ir9rxS3cUDuNbfKXrcUmI61Ir.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1040x1040&from=bu&u=z6XYUkne2qgbdql3k06c6mx6skY9VoMm0d-psKxhdnE&cs=540x0",true
20002,Фетровая кукла с одеждой в комплекте,5000.00,3,Кукла из фетра с комплектом одежды,"https://sun9-82.vkuserphoto.ru/s/v1/ig2/WKWfSZvUcqXPiyWVEYJruARPSgJdDWshJxq8dVMDR1MEBNXOkMkGdsjnb8PoT-H7zAKnteXzJ4yGP_Jf1rfyiYQ4.jpg?quality=95&as=32x43,48x65,72x97,108x145,160x215,240x323,360x484,480x646,540x726,640x861,720x968,1080x1453,1280x1722,1440x1937,1840x2475&from=bu&u=FNneQdn7A1CKHy1UWjOjRnugymqX5yHTFSFDWM9u-pQ&cs=540x0",true
30001,Кулон Чистое сияние из эпоксидной смолы,800.00,4,Прозрачный сияющий кулон,,true
30002,Кулон Пятицветие из эпоксидной смолы,1800.00,4,Пятицветный кулон,,true
30003,Кулоны Взгляд сверху вниз из эпоксидной смолы,1000.00,4,Кулон с абстрактным дизайном,,true
30004,Кулон Золотая монета из эпоксидной смолы,500.00,4,Кулон с золотой монетой,,true
30005,Кулон Тропический жираф из эпоксидной смолы,1000.00,4,Кулон с тропическим жирафом,,true
30006,Кулон Ты мой пазл из эпоксидной смолы,500.00,4,Романтичный кулон-пазл,,true
30007,Два кулона Единство из эпоксидной смолы,5500.00,4,Парные кулоны Единство,,true
